iteration,product_id,product_name,persona,total_evaluations,purchases,conversion_rate
1,1,SoundMax Pro (High),Impulsive,20,20,100.0
1,1,SoundMax Pro (High),Careful,20,20,100.0
1,1,SoundMax Pro (High),Skeptical,20,18,90.0
1,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
1,2,AudioBlast Wireless (Med-High),Careful,20,7,35.0
1,2,AudioBlast Wireless (Med-High),Skeptical,20,20,100.0
1,3,BudgetBeats (Low),Impulsive,20,0,0.0
1,3,BudgetBeats (Low),Careful,20,0,0.0
1,3,BudgetBeats (Low),Skeptical,20,0,0.0
1,4,TechWave Elite (Premium),Impulsive,20,20,100.0
1,4,TechWave Elite (Premium),Careful,20,20,100.0
1,4,TechWave Elite (Premium),Skeptical,20,20,100.0
1,5,ClearSound Basic (Low-Med),Impulsive,20,0,0.0
1,5,ClearSound Basic (Low-Med),Careful,20,0,0.0
1,5,ClearSound Basic (Low-Med),Skeptical,20,0,0.0
2,1,SoundMax Pro (High),Impulsive,20,20,100.0
2,1,SoundMax Pro (High),Careful,20,20,100.0
2,1,SoundMax Pro (High),Skeptical,20,12,60.0
2,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
2,2,AudioBlast Wireless (Med-High),Careful,20,19,95.0
2,2,AudioBlast Wireless (Med-High),Skeptical,20,0,0.0
2,3,BudgetBeats (Low),Impulsive,20,0,0.0
2,3,BudgetBeats (Low),Careful,20,0,0.0
2,3,BudgetBeats (Low),Skeptical,20,0,0.0
2,4,TechWave Elite (Premium),Impulsive,20,20,100.0
2,4,TechWave Elite (Premium),Careful,20,20,100.0
2,4,TechWave Elite (Premium),Skeptical,20,20,100.0
2,5,ClearSound Basic (Low-Med),Impulsive,20,0,0.0
2,5,ClearSound Basic (Low-Med),Careful,20,0,0.0
2,5,ClearSound Basic (Low-Med),Skeptical,20,0,0.0
3,1,SoundMax Pro (High),Impulsive,20,20,100.0
3,1,SoundMax Pro (High),Careful,20,20,100.0
3,1,SoundMax Pro (High),Skeptical,20,0,0.0
3,2,AudioBlast Wireless (Med-High),Impulsive,20,20,100.0
3,2,AudioBlast Wireless (Med-High),Careful,20,0,0.0
3,2,AudioBlast Wireless (Med-High),Skeptical,20,0,0.0
3,3,BudgetBeats (Low),Impulsive,20,0,0.0
3,3,BudgetBeats (Low),Careful,20,0,0.0
3,3,BudgetBeats (Low),Skeptical,20,0,0.0
3,4,TechWave Elite (Premium),Impulsive,20,20,100.0
